time,NO2 (µg/m3)
2019-01-01 00:00:00,4.8899403
2019-01-01 01:00:00,5.5763483
2019-01-01 02:00:00,5.0467243
2019-01-01 03:00:00,4.649984
2019-01-01 04:00:00,4.659544
2019-01-01 05:00:00,5.010396
2019-01-01 06:00:00,4.463564
2019-01-01 07:00:00,4.242728
2019-01-01 08:00:00,4.8134604
2019-01-01 09:00:00,4.9377403
2019-01-01 10:00:00,4.940608
2019-01-01 11:00:00,4.663368
2019-01-01 12:00:00,3.855548
2019-01-01 13:00:00,3.117516
2019-01-01 14:00:00,3.823044
2019-01-01 15:00:00,4.011376
2019-01-01 16:00:00,4.939652
2019-01-01 17:00:00,4.245596
2019-01-01 18:00:00,5.0467243
2019-01-01 19:00:00,5.792404
2019-01-01 20:00:00,5.097392
2019-01-01 21:00:00,4.0152
2019-01-01 22:00:00,3.692072
2019-01-01 23:00:00,3.428216
2019-01-02 00:00:00,3.4024038
2019-01-02 01:00:00,4.1413918
2019-01-02 02:00:00,6.88798
2019-01-02 03:00:00,8.450085
2019-01-02 04:00:00,6.240768
2019-01-02 05:00:00,5.2580004
2019-01-02 06:00:00,5.454936
2019-01-02 07:00:00,4.685356
2019-01-02 08:00:00,5.111732
2019-01-02 09:00:00,6.4625597
2019-01-02 10:00:00,7.9644356
2019-01-02 11:00:00,10.741615
2019-01-02 12:00:00,9.051408
2019-01-02 13:00:00,6.987404
2019-01-02 14:00:00,8.362131
2019-01-02 15:00:00,12.118256
2019-01-02 16:00:00,11.509284
2019-01-02 17:00:00,13.45092
2019-01-02 18:00:00,17.335148
2019-01-02 19:00:00,20.036804
2019-01-02 20:00:00,8.754092
2019-01-02 21:00:00,6.941516
2019-01-02 22:00:00,7.29428
2019-01-02 23:00:00,9.726344
2019-01-03 00:00:00,7.7550726
2019-01-03 01:00:00,7.961568
2019-01-03 02:00:00,7.869792
2019-01-03 03:00:00,7.5045996
2019-01-03 04:00:00,7.464448
2019-01-03 05:00:00,8.018929
2019-01-03 06:00:00,9.735905
2019-01-03 07:00:00,9.4596195
2019-01-03 08:00:00,10.217728
2019-01-03 09:00:00,9.68906
2019-01-03 10:00:00,8.679523
2019-01-03 11:00:00,7.0466757
2019-01-03 12:00:00,6.786644
2019-01-03 13:00:00,6.088764
2019-01-03 14:00:00,5.4826603
2019-01-03 15:00:00,6.41476
2019-01-03 16:00:00,9.252169
2019-01-03 17:00:00,8.457731
2019-01-03 18:00:00,8.070552
2019-01-03 19:00:00,8.685261
2019-01-03 20:00:00,8.90992
