time,O3 (µg/m3)
2019-01-01 00:00:00,39.51264
2019-01-01 01:00:00,39.60251
2019-01-01 02:00:00,41.012386
2019-01-01 03:00:00,43.36985
2019-01-01 04:00:00,45.562553
2019-01-01 05:00:00,46.639935
2019-01-01 06:00:00,50.383312
2019-01-01 07:00:00,50.11871
2019-01-01 08:00:00,46.648922
2019-01-01 09:00:00,47.13619
2019-01-01 10:00:00,48.865593
2019-01-01 11:00:00,49.62645
2019-01-01 12:00:00,56.483147
2019-01-01 13:00:00,62.85957
2019-01-01 14:00:00,57.86807
2019-01-01 15:00:00,54.941463
2019-01-01 16:00:00,51.77023
2019-01-01 17:00:00,53.076263
2019-01-01 18:00:00,50.974422
2019-01-01 19:00:00,48.028847
2019-01-01 20:00:00,46.24153
2019-01-01 21:00:00,49.057304
2019-01-01 22:00:00,52.911514
2019-01-01 23:00:00,56.132675
2019-01-02 00:00:00,55.305916
2019-01-02 01:00:00,59.13616
2019-01-02 02:00:00,63.49761
2019-01-02 03:00:00,71.25296
2019-01-02 04:00:00,75.49559
2019-01-02 05:00:00,76.497086
2019-01-02 06:00:00,75.33383
2019-01-02 07:00:00,74.05176
2019-01-02 08:00:00,73.04726
2019-01-02 09:00:00,71.4247
2019-01-02 10:00:00,68.484116
2019-01-02 11:00:00,65.20505
2019-01-02 12:00:00,66.393265
2019-01-02 13:00:00,68.46815
2019-01-02 14:00:00,65.79416
2019-01-02 15:00:00,61.70231
2019-01-02 16:00:00,62.11069
2019-01-02 17:00:00,64.49312
2019-01-02 18:00:00,60.421234
2019-01-02 19:00:00,55.09723
2019-01-02 20:00:00,61.200058
2019-01-02 21:00:00,61.26197
2019-01-02 22:00:00,62.49112
2019-01-02 23:00:00,61.599464
2019-01-03 00:00:00,61.57949
2019-01-03 01:00:00,62.239502
2019-01-03 02:00:00,62.18758
2019-01-03 03:00:00,61.89202
2019-01-03 04:00:00,63.055275
2019-01-03 05:00:00,60.20456
2019-01-03 06:00:00,55.408764
2019-01-03 07:00:00,55.153145
2019-01-03 08:00:00,53.94097
2019-01-03 09:00:00,57.589485
2019-01-03 10:00:00,60.853584
2019-01-03 11:00:00,65.31189
2019-01-03 12:00:00,68.0318
2019-01-03 13:00:00,70.98436
2019-01-03 14:00:00,73.61142
2019-01-03 15:00:00,72.87852
2019-01-03 16:00:00,67.50958
2019-01-03 17:00:00,66.81862
2019-01-03 18:00:00,68.13165
2019-01-03 19:00:00,66.569
2019-01-03 20:00:00,64.155624
2019-01-03 21:00:00,63.89302
2019-01-03 22:00:00,59.567513
2019-01-03 23:00:00,57.036316
2019-01-04 00:00:00,55.585495
2019-01-04 01:00:00,53.08825
2019-01-04 02:00:00,55.21206
2019-01-04 03:00:00,57.244003
2019-01-04 04:00:00,57.894028
2019-01-04 05:00:00,60.126675
2019-01-04 06:00:00,57.76322
2019-01-04 07:00:00,55.891037
2019-01-04 08:00:00,53.815155
2019-01-04 09:00:00,56.00187
2019-01-04 10:00:00,64.507095
2019-01-04 11:00:00,66.49311
2019-01-04 12:00:00,60.923477
2019-01-04 13:00:00,61.38778
2019-01-04 14:00:00,64.81363
2019-01-04 15:00:00,65.883026
2019-01-04 16:00:00,69.05925
2019-01-04 17:00:00,68.86954
2019-01-04 18:00:00,70.136635
2019-01-04 19:00:00,74.78365
2019-01-04 20:00:00,74.21251
2019-01-04 21:00:00,72.78067
2019-01-04 22:00:00,70.81761
2019-01-04 23:00:00,65.78717
2019-01-05 00:00:00,61.578495
2019-01-05 01:00:00,62.37929
2019-01-05 02:00:00,55.62344
2019-01-05 03:00:00,51.936977
2019-01-05 04:00:00,55.487644
2019-01-05 05:00:00,58.437214
2019-01-05 06:00:00,57.01435
2019-01-05 07:00:00,55.319893
2019-01-05 08:00:00,56.134674
2019-01-05 09:00:00,59.367813
2019-01-05 10:00:00,63.66736
2019-01-05 11:00:00,67.45566
2019-01-05 12:00:00,68.31238
2019-01-05 13:00:00,67.52057
2019-01-05 14:00:00,64.905495
2019-01-05 15:00:00,62.502106
2019-01-05 16:00:00,60.222534
2019-01-05 17:00:00,57.281948
2019-01-05 18:00:00,53.450706
2019-01-05 19:00:00,50.886555
2019-01-05 20:00:00,49.009377
2019-01-05 21:00:00,46.592007
2019-01-05 22:00:00,46.05082
2019-01-05 23:00:00,46.470192
2019-01-06 00:00:00,45.31892
2019-01-06 01:00:00,44.24653
2019-01-06 02:00:00,43.44973
2019-01-06 03:00:00,43.221073
2019-01-06 04:00:00,43.070297
2019-01-06 05:00:00,43.19611
2019-01-06 06:00:00,42.578033
2019-01-06 07:00:00,42.94848
2019-01-06 08:00:00,42.58303
2019-01-06 09:00:00,43.226063
2019-01-06 10:00:00,43.72831
2019-01-06 11:00:00,44.379333
2019-01-06 12:00:00,44.31742
2019-01-06 13:00:00,44.868595
2019-01-06 14:00:00,45.213078
2019-01-06 15:00:00,43.96895
2019-01-06 16:00:00,41.92502
2019-01-06 17:00:00,41.783234
2019-01-06 18:00:00,40.613987
2019-01-06 19:00:00,40.171654
2019-01-06 20:00:00,38.83566
2019-01-06 21:00:00,38.156677
2019-01-06 22:00:00,37.370857
2019-01-06 23:00:00,37.4747
2019-01-07 00:00:00,39.067314
2019-01-07 01:00:00,39.86711
2019-01-07 02:00:00,39.935005
2019-01-07 03:00:00,40.102753
2019-01-07 04:00:00,39.650436
2019-01-07 05:00:00,38.72982
2019-01-07 06:00:00,38.59602
2019-01-07 07:00:00,35.457733
2019-01-07 08:00:00,36.584045
2019-01-07 09:00:00,37.08329
2019-01-07 10:00:00,38.823677
2019-01-07 11:00:00,43.99391
2019-01-07 12:00:00,50.527096
2019-01-07 13:00:00,53.578514
2019-01-07 14:00:00,55.813156
